snapshot,timestamp_ms,elapsed_s,consent_requests_sent,consent_increment,requests_sent,responses_received,current_rtt_ms,avg_rtt_ms,available_outgoing_kbps,bytes_sent,bytes_received
0,1772728347212.818,0.0,13,0,14,14,62.0,89.29,458,50250,72592
1,1772728407212.173,60.0,35,22,36,36,62.0,70.83,458,70034,77060
2,1772728467220.302,120.01,57,22,58,58,53.0,65.78,458,89272,81610
3,1772728527207.456,179.99,79,22,80,80,59.0,63.86,458,108564,86142
4,1772728587218.45,240.01,101,22,102,102,73.0,62.41,458,127928,90498
5,1772728647206.386,299.99,124,23,125,124,61.0,61.66,458,146528,95030
6,1772728707221.313,360.01,146,22,147,146,59.0,60.94,458,166012,99598
7,1772728767209.738,420.0,168,22,169,169,54.0,60.34,458,185710,103972
8,1772728827210.844,480.0,190,22,191,191,52.0,59.86,458,204528,108522
9,1772728887215.429,540.0,212,22,213,213,68.0,60.41,458,223516,113054
10,1772728947214.609,600.0,234,22,235,235,54.0,60.12,458,242834,117428
11,1772729007206.461,659.99,256,22,257,257,71.0,59.86,458,262598,121960
12,1772729067208.544,720.0,278,22,279,279,59.0,60.23,458,282356,126510
13,1772729127218.112,780.01,300,22,301,301,51.0,60.95,458,301454,130884
14,1772729187205.883,839.99,322,22,323,323,51.0,60.78,458,321092,135434
15,1772729247217.739,900.0,344,22,345,345,59.0,61.32,458,340006,139984
16,1772729264781.777,917.57,350,6,351,351,55.0,61.25,458,345670,141394
17,1772729265488.299,918.28,350,0,351,351,55.0,61.25,458,345994,141394
18,1772729266497.603,919.28,351,1,352,352,53.0,61.22,458,346254,141458
19,1772729267495.59,920.28,351,0,352,352,53.0,61.22,458,346514,141522
20,1772729268493.524,921.28,352,1,353,353,60.0,61.22,458,346730,141586
